time,velocity,angle of road,acceleration,rolling resistance,air resistance,gradient resistance,inertial resistance,total resistance,total power,effective power,battery capacity,range
0.0,0.0,1.0,0,4.115373113263707,0.0,17.958526223964732,0.0,22.07389933722844,0.0,-50.0,100.00396825396825,0
1.0,3.0,1.0,3.0,4.115373113263707,1.7107199999999998,17.958526223964732,330.0,353.78461933722843,1061.3538580116854,1011.3538580116854,99.92370207476097,0
2.0,4.5,1.0,1.5,4.115373113263707,3.849119999999999,17.958526223964732,165.0,190.92301933722842,859.1535870175279,809.1535870175279,99.8594835361088,0
3.0,5.0,1.0,0.5,4.115373113263707,4.752,17.958526223964732,55.0,81.82589933722844,409.12949668614215,359.12949668614215,99.83098119510196,0
4.0,5.5,1.0,0.5,4.115373113263707,5.7499199999999995,17.958526223964732,55.0,82.82381933722844,455.5310063547564,405.5310063547564,99.7987961945976,0
5.0,6.0,1.0,0.5,4.115373113263707,6.842879999999999,17.958526223964732,55.0,83.91677933722843,503.5006760233706,453.5006760233706,99.7628040774529,0
6.0,6.25,1.0,0.25,4.115373113263707,7.425,17.958526223964732,27.5,56.99889933722844,356.24312085767775,306.24312085767775,99.73849906786101,0
7.0,6.5,1.0,0.25,4.115373113263707,8.03088,17.958526223964732,27.5,57.604779337228436,374.4310656919848,324.4310656919848,99.71275057058386,0
8.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.70118858124322,0
9.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.68962659190257,15.777606093813864
10.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.67806460256193,22.825878656457363
11.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.66650261322128,30.85835346849851
12.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.65494062388065,34.956104384531876
13.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.64337863454,40.551683453908744
14.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.63181664519936,48.869911481766394
15.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.62025465585872,54.55151224263774
16.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.60869266651807,62.22079025568022
17.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.59713067717743,62.21356803346651
18.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.58556868783678,62.206345811244276
19.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.57400669849615,62.199123589022065
20.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.5624447091555,62.19190136679984
21.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.55088271981487,62.184679144577615
22.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.53932073047422,62.1774569223554
23.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.52775874113357,62.170234700124674
24.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.51619675179293,62.163012477910954
25.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.50463476245228,62.15579025568873
26.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.49307277311165,62.1485680334665
27.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.481510783771,62.14134581124427
28.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.46994879443035,62.13412358901356
29.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.45838680508972,62.12690136679984
30.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.44682481574907,62.119679144569126
31.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.43526282640843,62.112456922355385
32.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.42370083706778,62.105234700133174
33.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.41213884772715,62.09801247791095
34.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.4005768583865,62.09079025568872
35.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.38901486904585,62.08356803345802
36.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.37745287970522,62.07634581124428
37.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,99.36589089036457,62.06912358902205
